customer_id,full_name,country_of_residence,bank_assigned_risk_rating,composite_risk_score,reason_codes,disposition
CUST0004,Yuki Scott,Afghanistan,High,135,STRUCTURING; ROUND_DOLLAR_TXN; HIGH_RISK_COUNTRY; WATCHLIST_MATCH; DORMANT_REACTIVATION;,Escalate
CUST0001,Mateo Clark,Ireland,High,125,STRUCTURING; RAPID_FUND_MOVEMENT; ROUND_DOLLAR_TXN; HIGH_RISK_COUNTRY; DORMANT_REACTIVATION;,Escalate
CUST0002,William Ramirez,Yemen,High,125,STRUCTURING; RAPID_FUND_MOVEMENT; HIGH_RISK_COUNTRY; WATCHLIST_MATCH;,Escalate
CUST0007,Wei Wilson,Netherlands,High,125,STRUCTURING; RAPID_FUND_MOVEMENT; ROUND_DOLLAR_TXN; HIGH_RISK_COUNTRY; DORMANT_REACTIVATION;,Escalate
CUST0010,Arjun Wilson,Switzerland,High,120,STRUCTURING; HIGH_RISK_COUNTRY; WATCHLIST_MATCH; DORMANT_REACTIVATION;,Escalate
CUST0021,Tatiana Orlova,Libya,High,120,STRUCTURING; ROUND_DOLLAR_TXN; HIGH_RISK_COUNTRY; WATCHLIST_MATCH;,Escalate
CUST0009,Patricia Anderson,North Korea,High,110,ROUND_DOLLAR_TXN; HIGH_RISK_COUNTRY; WATCHLIST_MATCH; DORMANT_REACTIVATION;,Escalate
CUST0013,Jennifer Brown,Ireland,High,110,STRUCTURING; RAPID_FUND_MOVEMENT; ROUND_DOLLAR_TXN; HIGH_RISK_COUNTRY;,Escalate
CUST0020,Viktor Kessler,Canada,High,110,ROUND_DOLLAR_TXN; HIGH_RISK_COUNTRY; WATCHLIST_MATCH; DORMANT_REACTIVATION;,Escalate
CUST0017,Thomas King,Spain,High,95,STRUCTURING; RAPID_FUND_MOVEMENT; HIGH_RISK_COUNTRY;,Escalate
CUST0022,Dragan Petrov,Singapore,High,95,HIGH_RISK_COUNTRY; WATCHLIST_MATCH; DORMANT_REACTIVATION;,Escalate
CUST0003,Ahmed Miller,Ireland,High,85,RAPID_FUND_MOVEMENT; HIGH_RISK_COUNTRY; DORMANT_REACTIVATION;,Escalate
CUST0006,Joseph Miller,Yemen,High,85,RAPID_FUND_MOVEMENT; HIGH_RISK_COUNTRY; DORMANT_REACTIVATION;,Escalate
CUST0016,Priya Davis,Iran,High,85,RAPID_FUND_MOVEMENT; HIGH_RISK_COUNTRY; DORMANT_REACTIVATION;,Escalate
CUST0023,Richard Martin,India,High,85,RAPID_FUND_MOVEMENT; HIGH_RISK_COUNTRY; DORMANT_REACTIVATION;,Escalate
CUST0011,Thomas Rodriguez,UAE,High,80,ROUND_DOLLAR_TXN; HIGH_RISK_COUNTRY; DORMANT_REACTIVATION;,Escalate
CUST0012,Mia Sanchez,United Kingdom,High,80,HIGH_RISK_COUNTRY; WATCHLIST_MATCH;,Escalate
CUST0018,Amara Solis,Syria,High,80,HIGH_RISK_COUNTRY; WATCHLIST_MATCH;,Escalate
CUST0019,Ava Smith,North Korea,High,80,ROUND_DOLLAR_TXN; HIGH_RISK_COUNTRY; DORMANT_REACTIVATION;,Escalate
CUST0005,Fatima Nguyen,Myanmar,High,65,ROUND_DOLLAR_TXN; HIGH_RISK_COUNTRY;,Escalate
CUST0008,Mateo Thomas,Myanmar,High,65,HIGH_RISK_COUNTRY; DORMANT_REACTIVATION;,Escalate
CUST0015,Sofia Smith,Ireland,High,65,ROUND_DOLLAR_TXN; HIGH_RISK_COUNTRY;,Escalate
CUST0024,Linda Thomas,Myanmar,High,65,HIGH_RISK_COUNTRY; DORMANT_REACTIVATION;,Escalate
CUST0014,Ethan Jones,India,High,50,HIGH_RISK_COUNTRY;,Monitor
CUST0031,David Ramirez,France,Low,50,ROUND_DOLLAR_TXN; HIGH_RISK_COUNTRY; DORMANT_REACTIVATION;,Monitor
CUST0077,Liam Ramirez,UAE,Medium,50,ROUND_DOLLAR_TXN; HIGH_RISK_COUNTRY; DORMANT_REACTIVATION;,Monitor
CUST0037,Noah King,United Kingdom,Medium,35,HIGH_RISK_COUNTRY; DORMANT_REACTIVATION;,Monitor
CUST0040,Sven Hill,Singapore,Low,35,HIGH_RISK_COUNTRY; DORMANT_REACTIVATION;,Monitor
CUST0072,Jessica Walker,Spain,Low,35,HIGH_RISK_COUNTRY; DORMANT_REACTIVATION;,Monitor
CUST0089,Priya Harris,Japan,Low,35,HIGH_RISK_COUNTRY; DORMANT_REACTIVATION;,Monitor
CUST0091,John Williams,Germany,Low,35,HIGH_RISK_COUNTRY; DORMANT_REACTIVATION;,Monitor
