transaction_id,account_id,customer_id,transaction_date,amount,transaction_type,counterparty_name,counterparty_country,channel,full_name,risk_rating,country_of_residence
TXN000001,ACCT00282,CUST0171,2025-01-01 00:00:00,786.87,CashDeposit,Crown Exchange,UAE,Branch,Ahmed White,Low,Switzerland
TXN000002,ACCT00135,CUST0080,2025-01-01 00:00:00,301.14,Deposit,Silver Partners,Germany,ATM,Priya Lee,Medium,Canada
TXN000003,ACCT00065,CUST0036,2025-01-01 00:00:00,810.43,Deposit,Sunrise Ventures,Netherlands,ATM,Mia Scott,Medium,UAE
TXN000004,ACCT00297,CUST0179,2025-01-01 00:00:00,2131.5,Withdrawal,Sunrise Freight,France,Branch,Linda Robinson,Medium,Switzerland
TXN000005,ACCT00255,CUST0154,2025-01-01 00:00:00,752.89,Deposit,Ahmed Jones,Netherlands,Wire,William Martin,Low,United States
TXN000006,ACCT00061,CUST0034,2025-01-01 00:00:00,940.59,CashDeposit,Metro Trading,Australia,Online,William Harris,Low,Japan
TXN000007,ACCT00198,CUST0121,2025-01-01 00:00:00,401.12,Deposit,Karen Wilson,UAE,ATM,Susan Taylor,Low,United Kingdom
TXN000008,ACCT00235,CUST0141,2025-01-02 00:00:00,368.41,ACH,Summit Capital,United States,Online,Charles King,Medium,India
TXN000009,ACCT00286,CUST0173,2025-01-02 00:00:00,860.23,WireTransfer,Susan Ramirez,United Kingdom,ATM,Karen Clark,Low,United Kingdom
TXN000010,ACCT00138,CUST0082,2025-01-02 00:00:00,279.46,Withdrawal,Pacific Traders,Australia,Online,Sven Brown,Low,Spain
TXN000011,ACCT00300,CUST0182,2025-01-02 00:00:00,585.88,CashDeposit,Falcon Partners,Ireland,Wire,Elizabeth Flores,Medium,United Kingdom
TXN000012,ACCT00282,CUST0171,2025-01-02 00:00:00,917.52,CashDeposit,Fatima Young,United Kingdom,Online,Ahmed White,Low,Switzerland
TXN000013,ACCT00328,CUST0200,2025-01-03 00:00:00,366.27,Withdrawal,Delta Freight,United Kingdom,Wire,Linda Moore,Low,Spain
TXN000014,ACCT00016,CUST0007,2025-01-03 00:00:00,20000.0,WireTransfer,David Moore,Afghanistan,Branch,Wei Wilson,High,Netherlands
TXN000015,ACCT00251,CUST0151,2025-01-03 00:00:00,116.97,WireTransfer,Sofia Walker,Spain,ATM,Olga Garcia,Medium,Spain
TXN000016,ACCT00170,CUST0103,2025-01-03 00:00:00,1491.49,WireTransfer,Emma Scott,Ireland,Online,Emma Wilson,Low,Ireland
TXN000017,ACCT00049,CUST0029,2025-01-03 00:00:00,258.69,WireTransfer,Delta Freight,Ireland,Online,Sven Robinson,Low,Switzerland
TXN000018,ACCT00123,CUST0073,2025-01-03 00:00:00,222.61,Deposit,Sven Sanchez,India,ATM,Lucas Gonzalez,Low,India
TXN000019,ACCT00281,CUST0171,2025-01-03 00:00:00,1470.23,CashDeposit,Yuki White,United Kingdom,ATM,Ahmed White,Low,Switzerland
