transaction_id,account_id,transaction_date,amount,currency,transaction_type,counterparty_name,counterparty_country,channel
TXN000001,ACCT00282,2025-01-01 00:00:00,786.87,USD,CashDeposit,Crown Exchange,UAE,Branch
TXN000002,ACCT00135,2025-01-01 00:00:00,301.14,USD,Deposit,Silver Partners,Germany,ATM
TXN000003,ACCT00065,2025-01-01 00:00:00,810.43,USD,Deposit,Sunrise Ventures,Netherlands,ATM
TXN000004,ACCT00297,2025-01-01 00:00:00,2131.5,USD,Withdrawal,Sunrise Freight,France,Branch
TXN000005,ACCT00255,2025-01-01 00:00:00,752.89,USD,Deposit,Ahmed Jones,Netherlands,Wire
TXN000006,ACCT00061,2025-01-01 00:00:00,940.59,USD,CashDeposit,Metro Trading,Australia,Online
TXN000007,ACCT00198,2025-01-01 00:00:00,401.12,USD,Deposit,Karen Wilson,UAE,ATM
TXN000008,ACCT00235,2025-01-02 00:00:00,368.41,USD,ACH,Summit Capital,United States,Online
TXN000009,ACCT00286,2025-01-02 00:00:00,860.23,USD,WireTransfer,Susan Ramirez,United Kingdom,ATM
TXN000010,ACCT00138,2025-01-02 00:00:00,279.46,USD,Withdrawal,Pacific Traders,Australia,Online
TXN000011,ACCT00300,2025-01-02 00:00:00,585.88,USD,CashDeposit,Falcon Partners,Ireland,Wire
TXN000012,ACCT00282,2025-01-02 00:00:00,917.52,USD,CashDeposit,Fatima Young,United Kingdom,Online
TXN000013,ACCT00328,2025-01-03 00:00:00,366.27,USD,Withdrawal,Delta Freight,United Kingdom,Wire
TXN000014,ACCT00016,2025-01-03 00:00:00,20000.0,USD,WireTransfer,David Moore,Afghanistan,Branch
TXN000015,ACCT00251,2025-01-03 00:00:00,116.97,USD,WireTransfer,Sofia Walker,Spain,ATM
TXN000016,ACCT00170,2025-01-03 00:00:00,1491.49,USD,WireTransfer,Emma Scott,Ireland,Online
TXN000017,ACCT00049,2025-01-03 00:00:00,258.69,USD,WireTransfer,Delta Freight,Ireland,Online
TXN000018,ACCT00123,2025-01-03 00:00:00,222.61,USD,Deposit,Sven Sanchez,India,ATM
TXN000019,ACCT00281,2025-01-03 00:00:00,1470.23,USD,CashDeposit,Yuki White,United Kingdom,ATM
TXN000020,ACCT00065,2025-01-04 00:00:00,1042.35,USD,WireTransfer,Mary Moore,Germany,Online
TXN000021,ACCT00055,2025-01-04 00:00:00,2695.54,USD,CashDeposit,Crown Imports,Singapore,Branch
TXN000022,ACCT00329,2025-01-04 00:00:00,341.43,USD,Withdrawal,Delta Traders,Singapore,ATM
TXN000023,ACCT00110,2025-01-04 00:00:00,337.73,USD,Withdrawal,Lucas King,Canada,Wire
TXN000024,ACCT00133,2025-01-04 00:00:00,1204.18,USD,ACH,Ava Flores,Germany,ATM
TXN000025,ACCT00288,2025-01-04 00:00:00,110.71,USD,WireTransfer,Lucas Torres,India,ATM
TXN000026,ACCT00263,2025-01-04 00:00:00,613.46,USD,WireTransfer,Metro Group,United Kingdom,ATM
TXN000027,ACCT00298,2025-01-04 00:00:00,1249.06,USD,Deposit,Sofia Robinson,United Kingdom,Branch
TXN000028,ACCT00201,2025-01-04 00:00:00,522.44,USD,CashDeposit,Mia Davis,UAE,Branch
TXN000029,ACCT00187,2025-01-04 00:00:00,411.79,USD,WireTransfer,Prime Exchange,India,Wire
TXN000030,ACCT00059,2025-01-04 00:00:00,3209.87,USD,CashDeposit,Chloe Lee,Spain,Branch
TXN000031,ACCT00110,2025-01-05 00:00:00,173.13,USD,Deposit,Camila Smith,Australia,Wire
